Nome,Link,Preço Alvo (R$),Preço Atual (R$),Status,URL da Imagem,Data de Criação
"Canivete Borboleta (★) | Sabedoria (Bem Desgastada)","https://steamcommunity.com/market/listings/730/%E2%98%85%20Butterfly%20Knife%20%7C%20Lore%20(Well-Worn)","3500","4336.99","ativo","https://community.fastly.steamstatic.com/economy/image/i0CoZ81Ui0m-9KwlBY1L_18myuGuq1wfhWSaZgMttyVfPaERSR0Wqmu7LAocGIGz3UqlXOLrxM-vMGmW8VNxu5Dx60noTyL6kJ_m-B1Z-ua6bbZrLOmsDXKvw_tipOR7SSWqqhEooTi6l4r9KD7KcAYnC5V5EbEItxDqwdDhYurntQOKgoJGmHmoiXlN5yw9tb4CV_cn8qDJz1aWe-z5ekc/360fx360f","2025-10-24T01:26:46.882Z"
"Canivete Borboleta (★) | Sabedoria (Testada em Campo)","https://steamcommunity.com/market/listings/730/%E2%98%85%20Butterfly%20Knife%20%7C%20Lore%20(Field-Tested)","4000","5238.19","ativo","https://community.fastly.steamstatic.com/economy/image/i0CoZ81Ui0m-9KwlBY1L_18myuGuq1wfhWSaZgMttyVfPaERSR0Wqmu7LAocGIGz3UqlXOLrxM-vMGmW8VNxu5Dx60noTyL6kJ_m-B1Z-ua6bbZrLOmsDXKvw_tipOR7SSWqqhEooTi6l4r9KD7KcAYnC5V5EbEItxDqwdDhYurntQOKgoJGmHmoiXlN5yw9tb4CV_cn8qDJz1aWe-z5ekc/360fx360f","2025-10-24T01:25:21.186Z"
"Canivete Borboleta (★) | Aquecimento de Aço (Veterana de Guerra)","https://steamcommunity.com/market/listings/730/%E2%98%85%20Butterfly%20Knife%20%7C%20Case%20Hardened%20(Battle-Scarred)","2300","4697.68","ativo","https://community.fastly.steamstatic.com/economy/image/i0CoZ81Ui0m-9KwlBY1L_18myuGuq1wfhWSaZgMttyVfPaERSR0Wqmu7LAocGIGz3UqlXOLrxM-vMGmW8VNxu5Dx60noTyL6kJ_m-B1Z-ua6bbZrLOmsD3avzud6teVWRyyygwRpsGiEyt2uIy6UbgEpWJR1E7ED5BC7kdHnM-y2tlOLi9lHyC2t2CtN5jErvbgVadjSoA/360fx360f","2025-10-24T01:23:47.948Z"
"Shadow Daggers | Doppler Gama","https://steamcommunity.com/market/listings/730/%E2%98%85%20Shadow%20Daggers%20%7C%20Gamma%20Doppler%20%28Factory%20New%29","750","884.98","ativo","https://community.fastly.steamstatic.com/economy/image/i0CoZ81Ui0m-9KwlBY1L_18myuGuq1wfhWSaZgMttyVfPaERSR0Wqmu7LAocGIGz3UqlXOLrxM-vMGmW8VNxu5Dx60noTyL6kJ_m-B1L-uGmV6VgH_eSA2qR_up5oPFlSjuMhRUmoDjRpYPwJiPTcFB2DJB3F-4LsBG_kd21Ne23tVPait9HmX6t2n5P6i1q5uoHAKJwq6TJz1aWm5wQ7fM/360fx360f","2025-10-24T01:23:36.061Z"
"Canivete Borboleta (★) | Aquecimento de Aço (Testada em Campo)","https://steamcommunity.com/market/listings/730/%E2%98%85%20Butterfly%20Knife%20%7C%20Case%20Hardened%20(Field-Tested)","3500","4374.18","ativo","https://community.fastly.steamstatic.com/economy/image/i0CoZ81Ui0m-9KwlBY1L_18myuGuq1wfhWSaZgMttyVfPaERSR0Wqmu7LAocGIGz3UqlXOLrxM-vMGmW8VNxu5Dx60noTyL6kJ_m-B1Z-ua6bbZrLOmsD3avzud6teVWQiy3nAgq_TvWmNiseXyfbQ4pCcElF7ZbsRe6kIXmN7ixsQfYiIpHm337inlB6il1o7FVbEGRqH0/360fx360f","2025-10-24T01:22:38.353Z"
"Bayonet | Black Laminate","https://steamcommunity.com/market/listings/730/%E2%98%85%20Bayonet%20%7C%20Black%20Laminate%20%28Battle-Scarred%29","600","999.87","ativo","https://community.fastly.steamstatic.com/economy/image/i0CoZ81Ui0m-9KwlBY1L_18myuGuq1wfhWSaZgMttyVfPaERSR0Wqmu7LAocGIGz3UqlXOLrxM-vMGmW8VNxu5Dx60noTyLzn4_v8ydP0PG7V6ZsOf-dC3Ov0vp5vuR-Tjq7qhUisiuc1NurIy3DOwN0WJBzRuIC40a7k9flN7zl5lPYj4kRmy78jy5JuCw44L4cEf1yVg1WoFU/360fx360f","2025-10-24T01:19:36.410Z"
"Baioneta (★) | Sabedoria (Testada em Campo)","https://steamcommunity.com/market/listings/730/%E2%98%85%20Bayonet%20%7C%20Lore%20(Field-Tested)","1500","1935.1","ativo","https://community.fastly.steamstatic.com/economy/image/i0CoZ81Ui0m-9KwlBY1L_18myuGuq1wfhWSaZgMttyVfPaERSR0Wqmu7LAocGIGz3UqlXOLrxM-vMGmW8VNxu5Dx60noTyLzn4_v8ydP0PG7V6ZsOf-dC3OvzeFktd5kSi26gBBp5D-AzNaqIHLBa1MpWcMjR-AI4EOxkt2xYuvk5Q2L2tkTnHqt3SlK5zErvbhU-sE7AQ/360fx360f","2025-10-24T01:18:21.093Z"
"AWP | BOOM","https://steamcommunity.com/market/listings/730/AWP%20%7C%20BOOM%20%28Field-Tested%29","500","538.83","ativo","https://community.fastly.steamstatic.com/economy/image/i0CoZ81Ui0m-9KwlBY1L_18myuGuq1wfhWSaZgMttyVfPaERSR0Wqmu7LAocGIGz3UqlXOLrxM-vMGmW8VNxu5Dx60noTyLwiYbf9Ttk7f6vZZt-Kf2DAmKvzOtyufRkAXzqlxwltm3Vzdr7InuXbwNyC5cjFuEDtxbslNXjZO6w51Df2oJGzCXgznQejKXZPSg/360fx360f","2025-10-24T01:15:35.787Z"
"Baioneta (★) | Aquecimento de Aço (Testada em Campo)","https://steamcommunity.com/market/listings/730/%E2%98%85%20Bayonet%20%7C%20Case%20Hardened%20(Field-Tested)","900","1920.66","ativo","https://community.fastly.steamstatic.com/economy/image/i0CoZ81Ui0m-9KwlBY1L_18myuGuq1wfhWSaZgMttyVfPaERSR0Wqmu7LAocGIGz3UqlXOLrxM-vMGmW8VNxu5Dx60noTyLzn4_v8ydP0PO_V6tkLPWXMWqVxedjva9sHXy2x0khsG2Bno36cHqQaAYpC8N4FOYK5xK_wNy1N-Pj5wLbjI9B02yg2RR_BriW/360fx360f","2025-10-24T01:15:22.637Z"
"Faca Esqueleto (★) | Aquecimento de Aço (Veterana de Guerra)","https://steamcommunity.com/market/listings/730/%E2%98%85%20Skeleton%20Knife%20%7C%20Case%20Hardened%20(Battle-Scarred)","1000","1550","ativo","https://community.fastly.steamstatic.com/economy/image/i0CoZ81Ui0m-9KwlBY1L_18myuGuq1wfhWSaZgMttyVfPaERSR0Wqmu7LAocGIGz3UqlXOLrxM-vMGmW8VNxu5Dx60noTyL6kJ_m-B1I5PeibbBiLs-SH1ifyOJztN5hSiiljFMj4j7TyYyheXuUag8jXJt4ELQJ40a6w9XgZey0tQLd2IsWmS6s2ihI8G81tB3nbXmP/360fx360f","2025-10-24T01:08:41.593Z"
